recall: 75.059382, precision: 19.566563, f_1 measure: 31.041257
recall: 96.993988, precision: 29.422492, f_1 measure: 45.149254
recall: 49.572650, precision: 61.375661, f_1 measure: 54.846336
recall: 86.666667, precision: 71.216342, f_1 measure: 78.185525
recall: 94.809011, precision: 66.165414, f_1 measure: 77.938808
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 86.036036, precision: 12.691030, f_1 measure: 22.119282
recall: 88.888889, precision: 9.036545, f_1 measure: 16.405308
recall: 87.614679, precision: 12.126984, f_1 measure: 21.305075
recall: 63.235294, precision: 11.986063, f_1 measure: 20.152314
recall: 60.000000, precision: 11.020408, f_1 measure: 18.620690
recall: 51.219512, precision: 18.890555, f_1 measure: 27.601314
recall: 41.714286, precision: 17.527011, f_1 measure: 24.683009
recall: 94.265233, precision: 53.455285, f_1 measure: 68.223087
recall: 82.242991, precision: 16.761905, f_1 measure: 27.848101
recall: 100.000000, precision: 54.952830, f_1 measure: 70.928463
recall: 100.000000, precision: 57.142857, f_1 measure: 72.727273
recall: 59.154930, precision: 66.666667, f_1 measure: 62.686567
recall: 78.954248, precision: 75.500000, f_1 measure: 77.188498
recall: 84.215501, precision: 65.274725, f_1 measure: 73.545192
recall: 100.000000, precision: 55.411255, f_1 measure: 71.309192
recall: 54.852321, precision: 10.317460, f_1 measure: 17.368069
recall: 85.000000, precision: 28.099174, f_1 measure: 42.236025
recall: 99.456522, precision: 13.280116, f_1 measure: 23.431498
recall: 45.564516, precision: 10.414747, f_1 measure: 16.954239
recall: 75.462963, precision: 16.059113, f_1 measure: 26.482535
recall: 40.677966, precision: 13.714286, f_1 measure: 20.512821
recall: 100.000000, precision: 29.603175, f_1 measure: 45.682792
recall: 97.411003, precision: 51.986183, f_1 measure: 67.792793
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 6.762295, precision: 2.357143, f_1 measure: 3.495763
recall: 8.892356, precision: 4.071429, f_1 measure: 5.585497
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 7.196030, precision: 4.142857, f_1 measure: 5.258386
recall: 15.124816, precision: 14.714286, f_1 measure: 14.916727
recall: 86.717268, precision: 88.737864, f_1 measure: 87.715931
recall: 6.400000, precision: 0.993789, f_1 measure: 1.720430
